ENST00000000233	P84085	ARF5_HUMAN
ENST00000221086	Q96QG7	MTMR9_HUMAN
ENST00000221114	O00399	DCTN6_HUMAN
ENST00000221130	P00390	GSHR_HUMAN
ENST00000221132	O00220	TR10A_HUMAN
ENST00000221138	P62714	PP2AB_HUMAN
ENST00000221166	P07197	NFM_HUMAN
ENST00000221200	Q7L273	KCTD9_HUMAN
ENST00000221232	O75175	CNOT3_HUMAN
ENST00000221233	Q9NQT4	EXOS5_HUMAN
ENST00000221249	Q8IY17	PLPL6_HUMAN
ENST00000221265	Q8N7H5	PAF1_HUMAN
ENST00000221283	Q15833	STXB2_HUMAN
ENST00000221315	O94892	ZN432_HUMAN
ENST00000221399	O00295	TULP2_HUMAN
ENST00000221403	Q9UQ10	DHDH_HUMAN
ENST00000221418	Q13011	ECH1_HUMAN
ENST00000221419	P14866	HNRPL_HUMAN
ENST00000221431	Q9NP81	SYSM_HUMAN
ENST00000221444	Q96RP8	KCNA7_HUMAN
ENST00000221455	A0A0A0MQS2	A0A0A0MQS2_HUMAN
ENST00000221459	Q9HAP6	LIN7B_HUMAN
ENST00000221462	O75864	PPR37_HUMAN
ENST00000221466	P55899	FCGRN_HUMAN
ENST00000221476	P06732	KCRM_HUMAN
ENST00000221480	Q96HA9	PX11C_HUMAN
ENST00000221485	Q9P2U7	VGLU1_HUMAN
ENST00000221486	O75792	RNH2A_HUMAN
ENST00000221494	Q15428	SF3A2_HUMAN
ENST00000221496	P03971	MIS_HUMAN
ENST00000221498	Q9UK85	DKKL1_HUMAN
ENST00000221515	Q9HD89	RETN_HUMAN
ENST00000221538	Q9H0K4	RSH6A_HUMAN
ENST00000221543	Q9HA65	TBC17_HUMAN
ENST00000221566	O43765	SGTA_HUMAN
ENST00000221573	Q13487	SNPC2_HUMAN
ENST00000221665	Q96SL8	FIZ1_HUMAN
ENST00000221671	Q9H6X5	CS044_HUMAN
ENST00000221700	P78329	CP4F2_HUMAN
ENST00000221797	Q9UHV8	PP13_HUMAN
ENST00000221801	P22087	FBRL_HUMAN
ENST00000221804	Q05315	LEG10_HUMAN
ENST00000221847	Q14213	IL27B_HUMAN
ENST00000221855	Q99426	TBCB_HUMAN
ENST00000221856	Q9BTV5	FSD1_HUMAN
ENST00000221859	P36954	RPB9_HUMAN
ENST00000221891	P51693	APLP1_HUMAN
ENST00000221930	A0A499FJK2	A0A499FJK2_HUMAN
ENST00000221943	Q9NW81	DMAC2_HUMAN
ENST00000221954	O75871	CEAM4_HUMAN
ENST00000221957	O60664	PLIN3_HUMAN
ENST00000221972	P11912	CD79A_HUMAN
ENST00000221980	Q9UMF0	ICAM5_HUMAN
ENST00000221992	P06731	CEAM5_HUMAN
ENST00000222002	Q06520	ST2A1_HUMAN
ENST00000222005	Q16543	CDC37_HUMAN
ENST00000222008	Q9UI14	PRAF1_HUMAN
ENST00000222032	Q9BYD5	CNFN_HUMAN
ENST00000222033	Q8WWF5	ZNRF4_HUMAN
ENST00000222115	Q92839	HYAS1_HUMAN
ENST00000222122	Q10586	DBP_HUMAN
ENST00000222139	P19235	EPOR_HUMAN
ENST00000222145	Q5U651	RAIN_HUMAN
ENST00000222214	Q92947	GCDH_HUMAN
ENST00000222219	O00115	DNS2A_HUMAN
ENST00000222224	Q96BZ8	LENG1_HUMAN
ENST00000222247	Q02543	RL18A_HUMAN
ENST00000222248	Q92911	SC5A5_HUMAN
ENST00000222249	Q92952	KCNN1_HUMAN
ENST00000222250	Q8TBH0	ARRD2_HUMAN
ENST00000222254	O00459	P85B_HUMAN
ENST00000222256	P20336	RAB3A_HUMAN
ENST00000222271	P49747	COMP_HUMAN
ENST00000222284	Q9BVK8	TM147_HUMAN
ENST00000222286	O14556	G3PT_HUMAN
ENST00000222305	Q15853	USF2_HUMAN
ENST00000222329	P50548	ERF_HUMAN
ENST00000222330	P49840	GSK3A_HUMAN
ENST00000222345	O60292	SI1L3_HUMAN
ENST00000222374	Q8NFZ8	CADM4_HUMAN
ENST00000222381	P27169	PON1_HUMAN
ENST00000222382	Q9HB55	CP343_HUMAN
ENST00000222399	P07942	LAMB1_HUMAN
ENST00000222402	Q9Y2X8	UB2D4_HUMAN
ENST00000222481	P48052	CBPA2_HUMAN
ENST00000222482	Q9UI42	CBPA4_HUMAN
ENST00000222511	A4D1E9	GTPBA_HUMAN
ENST00000222543	P48307	TFPI2_HUMAN
ENST00000222547	O15155	BET1_HUMAN
ENST00000222553	P43490	NAMPT_HUMAN
ENST00000222567	Q3B726	RPA43_HUMAN
ENST00000222573	P26012	ITB8_HUMAN
ENST00000222584	Q02446	SP4_HUMAN
ENST00000222644	Q9NZW5	PALS2_HUMAN
ENST00000222673	Q02218	ODO1_HUMAN
ENST00000222674	Q9HCQ7	NPVF_HUMAN
ENST00000222693	P51636	CAV2_HUMAN
ENST00000222718	O43364	HXA2_HUMAN
ENST00000222725	Q8NES3	LFNG_HUMAN
ENST00000222726	P20719	HXA5_HUMAN
ENST00000222747	O95859	TSN12_HUMAN
ENST00000222792	P52757	CHIO_HUMAN
ENST00000222800	Q8NFV4	ABHDB_HUMAN
ENST00000222803	Q9NWM8	FKB14_HUMAN
ENST00000222812	Q16623	STX1A_HUMAN
ENST00000222823	Q9Y239	NOD1_HUMAN
ENST00000222982	P20815	CP3A5_HUMAN
ENST00000222990	Q9Y5X2	SNX8_HUMAN
ENST00000223023	O00401	WASL_HUMAN
ENST00000223026	Q2M3T9	HYAL4_HUMAN
ENST00000223029	Q13155	AIMP2_HUMAN
ENST00000223054	O75425	MSPD3_HUMAN
ENST00000223061	Q15113	PCOC1_HUMAN
ENST00000223073	Q9NW13	RBM28_HUMAN
ENST00000223095	P05121	PAI1_HUMAN
ENST00000223114	Q86VF5	MOGT3_HUMAN
ENST00000223127	O60568	PLOD3_HUMAN
ENST00000223129	P35244	RFA3_HUMAN
ENST00000223136	Q9Y3D6	FIS1_HUMAN
ENST00000223145	Q86VQ1	GLCI1_HUMAN
ENST00000223210	O60290	ZN862_HUMAN
ENST00000223271	Q99969	RARR2_HUMAN
ENST00000223273	Q9NRH1	YAE1_HUMAN
ENST00000223293	Q9UG22	GIMA2_HUMAN
ENST00000223321	P25787	PSA2_HUMAN
ENST00000223324	Q9BYC8	RM32_HUMAN
ENST00000223357	Q8IUX7	AEBP1_HUMAN
ENST00000223364	Q01449	MLRA_HUMAN
ENST00000223368	Q9BQE9	BCL7B_HUMAN
ENST00000223369	O15498	YKT6_HUMAN
ENST00000223398	Q9UDT6	CLIP2_HUMAN
ENST00000223459	P0C7X2	ZN688_HUMAN
ENST00000223500	Q9NZZ3	CHMP5_HUMAN
ENST00000223528	O75072	FKTN_HUMAN
ENST00000223641	P60468	SC61B_HUMAN
ENST00000223642	P01031	CO5_HUMAN
ENST00000223795	P32971	TNFL8_HUMAN
ENST00000223862	P04808	REL1_HUMAN
ENST00000223864	Q9HBL7	PLRKT_HUMAN
ENST00000224073	O60869	EDF1_HUMAN
ENST00000224140	Q7Z333	SETX_HUMAN
ENST00000224337	Q8WV28	BLNK_HUMAN
ENST00000224356	O43174	CP26A_HUMAN
ENST00000224721	Q9H251	CAD23_HUMAN
ENST00000224784	P62736	ACTA_HUMAN
ENST00000224949	Q5JRX3	PREP_HUMAN
ENST00000224950	Q9H668	STN1_HUMAN
ENST00000225171	Q9UKB3	DJC12_HUMAN
ENST00000225174	P30405	PPIF_HUMAN
ENST00000225235	O60347	TBC12_HUMAN
ENST00000225275	P05164	PERM_HUMAN
ENST00000225276	Q9UJ37	SIA7B_HUMAN
ENST00000225296	Q9H6R0	DHX33_HUMAN
ENST00000225298	Q9Y5J1	UTP18_HUMAN
ENST00000225308	Q9BZJ4	S2539_HUMAN
ENST00000225371	P11678	PERE_HUMAN
ENST00000225387	P05813	CRBA1_HUMAN
ENST00000225388	Q7Z417	NUFP2_HUMAN
ENST00000225430	P84098	RL19_HUMAN
ENST00000225474	P09919	CSF3_HUMAN
ENST00000225504	P63272	SPT4H_HUMAN
ENST00000225512	P56703	WNT3_HUMAN
ENST00000225519	Q9UHJ6	SHPK_HUMAN
ENST00000225525	O14907	TX1B3_HUMAN
ENST00000225538	P51575	P2RX1_HUMAN
ENST00000225550	O76014	KRT37_HUMAN
ENST00000225577	P23443	KS6B1_HUMAN
ENST00000225603	P83916	CBX1_HUMAN
ENST00000225609	Q9Y2B2	PIGL_HUMAN
ENST00000225614	P51570	GALK1_HUMAN
ENST00000225655	P07737	PROF1_HUMAN
ENST00000225665	Q02978	M2OM_HUMAN
ENST00000225688	Q9Y272	RASD1_HUMAN
ENST00000225698	Q07021	C1QBP_HUMAN
ENST00000225719	O75976	CBPD_HUMAN
ENST00000225726	Q96A33	CCD47_HUMAN
ENST00000225728	Q9Y3C7	MED31_HUMAN
ENST00000225729	P55039	DRG2_HUMAN
ENST00000225737	O43572	AKA10_HUMAN
ENST00000225740	P30838	AL3A1_HUMAN
ENST00000225831	P13500	CCL2_HUMAN
ENST00000225842	P22362	CCL1_HUMAN
ENST00000225844	Q99616	CCL13_HUMAN
ENST00000225873	O00623	PEX12_HUMAN
ENST00000225899	Q14532	K1H2_HUMAN
ENST00000225916	Q92830	KAT2A_HUMAN
ENST00000225927	P54802	ANAG_HUMAN
ENST00000225941	Q9P2A4	ABI3_HUMAN
ENST00000225964	P02452	CO1A1_HUMAN
ENST00000225969	Q9P0M9	RM27_HUMAN
ENST00000225972	Q96AG4	LRC59_HUMAN
ENST00000225992	P01298	PAHO_HUMAN
ENST00000226004	P51452	DUS3_HUMAN
ENST00000226021	Q06432	CCG1_HUMAN
ENST00000226067	Q16534	HLF_HUMAN
ENST00000226091	Q15768	EFNB3_HUMAN
ENST00000226105	Q9HD47	MOG1_HUMAN
ENST00000226193	P35243	RECO_HUMAN
ENST00000226207	P12882	MYH1_HUMAN
ENST00000226218	P04004	VTNC_HUMAN
ENST00000226225	Q13829	BACD2_HUMAN
ENST00000226230	Q5BJF2	SGMR2_HUMAN
ENST00000226279	P28907	CD38_HUMAN
ENST00000226284	P21815	SIAL_HUMAN
ENST00000226299	P28838	AMPL_HUMAN
ENST00000226317	P80162	CXCL6_HUMAN
ENST00000226319	Q6IE81	JADE1_HUMAN
ENST00000226355	P43652	AFAM_HUMAN
ENST00000226382	Q99453	PHX2B_HUMAN
ENST00000226413	P30968	GNRHR_HUMAN
ENST00000226432	Q9H720	PG2IP_HUMAN
ENST00000226444	P49888	ST1E1_HUMAN
ENST00000226460	Q99954	SMR3A_HUMAN
ENST00000226524	P10720	PF4V_HUMAN
ENST00000226574	P19838	NFKB1_HUMAN
ENST00000226725	O95198	KLHL2_HUMAN
ENST00000226730	P60568	IL2_HUMAN
ENST00000226760	O76024	WFS1_HUMAN
ENST00000226798	Q14331	FRG1_HUMAN
ENST00000226951	Q7Z7G1	CLNK_HUMAN
ENST00000227155	P27701	CD82_HUMAN
ENST00000227266	P53634	CATC_HUMAN
ENST00000227322	O75312	ZPR1_HUMAN
ENST00000227348	O95727	CRTAM_HUMAN
ENST00000227349	Q6NUN7	JHY_HUMAN
ENST00000227451	Q9Y2E6	DTX4_HUMAN
ENST00000227471	Q9H1C4	UN93B_HUMAN
ENST00000227474	Q9BZE2	PUS3_HUMAN
ENST00000227507	P24385	CCND1_HUMAN
ENST00000227520	Q9H6F5	CCD86_HUMAN
ENST00000227524	Q9UMS4	PRP19_HUMAN
ENST00000227525	Q9BVC6	TM109_HUMAN
ENST00000227618	P60006	APC15_HUMAN
ENST00000227638	Q96RD7	PANX1_HUMAN
ENST00000227667	P02656	APOC3_HUMAN
ENST00000227752	Q13651	I10R1_HUMAN
ENST00000227756	Q6P9A2	GLT18_HUMAN
ENST00000227758	Q13490	BIRC2_HUMAN
ENST00000227868	O00330	ODPX_HUMAN
ENST00000227880	Q8IY34	S15A3_HUMAN
ENST00000227918	Q13296	SG2A2_HUMAN
ENST00000228027	Q96PD7	DGAT2_HUMAN
ENST00000228136	O00193	SMAP_HUMAN
ENST00000228251	P16989	YBOX3_HUMAN
ENST00000228306	P05388	RLA0_HUMAN
ENST00000228347	Q9NW08	RPC2_HUMAN
ENST00000228425	Q86W92	LIPB1_HUMAN
ENST00000228434	Q07108	CD69_HUMAN
ENST00000228437	Q9UKN5	PRDM4_HUMAN
ENST00000228438	Q92478	CLC2B_HUMAN
ENST00000228476	P14920	OXDA_HUMAN
ENST00000228495	Q9H3F6	BACD3_HUMAN
ENST00000228506	Q14165	MLEC_HUMAN
ENST00000228510	Q03426	KIME_HUMAN
ENST00000228515	Q9H175	CSRN2_HUMAN
ENST00000228534	Q9NPF7	IL23A_HUMAN
ENST00000228567	Q6XYQ8	SYT10_HUMAN
ENST00000228606	O15528	CP27B_HUMAN
ENST00000228641	P23409	MYF6_HUMAN
ENST00000228644	P13349	MYF5_HUMAN
ENST00000228682	P08151	GLI1_HUMAN
ENST00000228705	Q9ULR3	PPM1H_HUMAN
ENST00000228740	P09960	LKHA4_HUMAN
ENST00000228741	P41970	ELK3_HUMAN
ENST00000228799	Q969R8	ITFG2_HUMAN
ENST00000228811	Q16378	PROL4_HUMAN
ENST00000228820	Q9NR21	PAR11_HUMAN
ENST00000228825	O15145	ARPC3_HUMAN
ENST00000228827	Q9UHW5	GPN3_HUMAN
ENST00000228837	P10767	FGF6_HUMAN
ENST00000228841	P10916	MLRV_HUMAN
ENST00000228865	O60519	CRBL2_HUMAN
ENST00000228918	P36941	TNR3_HUMAN
ENST00000228922	Q6N063	OGFD2_HUMAN
ENST00000228928	Q9Y6K5	OAS3_HUMAN
ENST00000228936	Q93070	NAR4_HUMAN
ENST00000228945	P52566	GDIR2_HUMAN
ENST00000229030	Q9ULW2	FZD10_HUMAN
ENST00000229134	Q9NPH9	IL26_HUMAN
ENST00000229135	P01579	IFNG_HUMAN
ENST00000229179	P57740	NU107_HUMAN
ENST00000229214	Q13601	KRR1_HUMAN
ENST00000229238	Q4U2R6	RM51_HUMAN
ENST00000229239	P04406	G3P_HUMAN
ENST00000229243	Q8NEB7	ACRBP_HUMAN
ENST00000229264	P16520	GBB3_HUMAN
ENST00000229266	Q8WUD6	CHPT1_HUMAN
ENST00000229281	Q99622	C10_HUMAN
ENST00000229304	P41238	ABEC1_HUMAN
ENST00000229307	Q9H9S0	NANOG_HUMAN
ENST00000229314	Q9Y3E0	GOT1B_HUMAN
ENST00000229329	Q8NFW8	NEUA_HUMAN
ENST00000229330	Q9Y5Z7	HCFC2_HUMAN
ENST00000229332	Q9UMR7	CLC4A_HUMAN
ENST00000229335	Q9GZX7	AICDA_HUMAN
ENST00000229340	Q15286	RAB35_HUMAN
ENST00000229379	P12074	CX6A1_HUMAN
ENST00000229390	Q13242	SRSF9_HUMAN
ENST00000229402	Q12918	KLRB1_HUMAN
ENST00000229554	Q5TD94	RSH4A_HUMAN
ENST00000229595	Q9Y294	ASF1A_HUMAN
ENST00000229633	Q9NQE9	HINT3_HUMAN
ENST00000229708	Q9BZM6	ULBP1_HUMAN
ENST00000229729	Q53GD3	CTL4_HUMAN
ENST00000229758	Q9UKT4	FBX5_HUMAN
ENST00000229769	Q9HB96	FANCE_HUMAN
ENST00000229771	O00294	TULP1_HUMAN
ENST00000229794	Q16539	MK14_HUMAN
ENST00000229812	Q15208	STK38_HUMAN
ENST00000229829	P06340	DOA_HUMAN
ENST00000229903	Q9NPB0	SMDC1_HUMAN
ENST00000229922	P40123	CAP2_HUMAN
ENST00000229955	Q9BZJ6	GPR63_HUMAN
ENST00000230036	P80108	PHLD_HUMAN
ENST00000230048	Q9NPJ3	ACO13_HUMAN
ENST00000230050	P25398	RS12_HUMAN
ENST00000230053	Q9NPZ5	B3GA2_HUMAN
ENST00000230085	O60493	SNX3_HUMAN
ENST00000230122	O43167	ZBT24_HUMAN
ENST00000230256	Q86WB7	UN93A_HUMAN
ENST00000230301	Q5T5N4	CF118_HUMAN
ENST00000230340	Q13895	BYST_HUMAN
ENST00000230361	Q9UMX6	GUC1B_HUMAN
ENST00000230381	P23942	PRPH2_HUMAN
ENST00000230419	Q13308	PTK7_HUMAN
ENST00000230431	O43598	DNPH1_HUMAN
ENST00000230449	Q96KP1	EXOC2_HUMAN
ENST00000230461	Q9NV96	CC50A_HUMAN
ENST00000230538	A0A0A0MQS9	A0A0A0MQS9_HUMAN
ENST00000230582	Q9NQE7	TSSP_HUMAN
ENST00000230588	Q16819	MEP1A_HUMAN
ENST00000230640	P42285	MTREX_HUMAN
ENST00000230658	P61371	ISL1_HUMAN
ENST00000230671	Q99884	SC6A7_HUMAN
ENST00000230771	P49590	SYHM_HUMAN
ENST00000230792	Q9BQG2	NUD12_HUMAN
ENST00000230882	P10912	GHR_HUMAN
ENST00000230895	P51397	DAP1_HUMAN
ENST00000230990	Q99075	HBEGF_HUMAN
ENST00000231004	P28300	LYOX_HUMAN
ENST00000231009	P49863	GRAK_HUMAN
ENST00000231021	Q9ULB4	CADH9_HUMAN
ENST00000231061	P09486	SPRC_HUMAN
ENST00000231121	O96004	HAND1_HUMAN
ENST00000231130	Q9Y5E6	PCDB3_HUMAN
ENST00000231134	Q9Y5E4	PCDB5_HUMAN
ENST00000231136	Q9Y5E3	PCDB6_HUMAN
ENST00000231137	Q9Y5E2	PCDB7_HUMAN
ENST00000231173	Q9Y5E8	PCDBF_HUMAN
ENST00000231198	Q9NWX6	THG1_HUMAN
ENST00000231228	P29460	IL12B_HUMAN
ENST00000231238	Q99614	TTC1_HUMAN
ENST00000231368	Q9UIQ6	LCAP_HUMAN
ENST00000231420	Q9BYV1	AGT2_HUMAN
ENST00000231449	P05112	IL4_HUMAN
ENST00000231454	P05113	IL5_HUMAN
ENST00000231461	Q92187	SIA8D_HUMAN
ENST00000231484	Q9NPG4	PCD12_HUMAN
ENST00000231498	O75694	NU155_HUMAN
ENST00000231512	Q8NC54	KCT2_HUMAN
ENST00000231524	P36406	TRI23_HUMAN
ENST00000231572	P54136	SYRC_HUMAN
ENST00000231656	P47902	CDX1_HUMAN
ENST00000231706	Q8TBB6	S7A14_HUMAN
ENST00000231721	Q9NS98	SEM3G_HUMAN
ENST00000231749	O75800	ZMY10_HUMAN
ENST00000231751	P02788	TRFL_HUMAN
ENST00000231790	P40692	MLH1_HUMAN
ENST00000231887	Q08426	ECHP_HUMAN
ENST00000231948	Q96SW2	CRBN_HUMAN
ENST00000232003	P04196	HRG_HUMAN
ENST00000232217	P50120	RET2_HUMAN
ENST00000232375	Q16877	F264_HUMAN
ENST00000232424	Q14469	HES1_HUMAN
ENST00000232461	P11488	GNAT1_HUMAN
ENST00000232496	O75896	TUSC2_HUMAN
ENST00000232501	Q8WTW4	NPRL2_HUMAN
ENST00000232508	O14569	C56D2_HUMAN
ENST00000232564	Q9HAV0	GBB4_HUMAN
ENST00000232603	Q86VD1	MORC1_HUMAN
ENST00000232607	P11172	UMPS_HUMAN
ENST00000232744	Q969K4	ABTB1_HUMAN
ENST00000232766	O94889	KLH18_HUMAN
ENST00000232888	O43818	U3IP2_HUMAN
ENST00000232892	P22760	AAAD_HUMAN
ENST00000232905	O60739	EIF1B_HUMAN
ENST00000232974	Q9UFB7	ZBT47_HUMAN
ENST00000232975	P63316	TNNC1_HUMAN
ENST00000232978	P30414	NKTR_HUMAN
ENST00000233027	P51957	NEK4_HUMAN
ENST00000233047	Q96B96	LDAF1_HUMAN
ENST00000233055	Q8IWB7	WDFY1_HUMAN
ENST00000233057	P19525	E2AK2_HUMAN
ENST00000233078	Q96EP5	DAZP1_HUMAN
ENST00000233099	Q9P2D3	HTR5B_HUMAN
ENST00000233121	Q9UPY8	MARE3_HUMAN
ENST00000233143	P63313	TYB10_HUMAN
ENST00000233154	O43639	NCK2_HUMAN
ENST00000233156	P10646	TFPI1_HUMAN
ENST00000233190	P28331	NDUS1_HUMAN
ENST00000233202	P49279	NRAM1_HUMAN
ENST00000233242	P04114	APOB_HUMAN
ENST00000233331	Q9C086	IN80B_HUMAN
ENST00000233336	Q8NG68	TTL_HUMAN
ENST00000233379	Q96GK7	FAH2A_HUMAN
ENST00000233468	Q9Y3B4	SF3B6_HUMAN
ENST00000233535	Q99726	ZNT3_HUMAN
ENST00000233557	Q9UHY1	NRBP_HUMAN
ENST00000233575	Q15036	SNX17_HUMAN
ENST00000233596	Q96HR9	REEP6_HUMAN
ENST00000233615	Q96G27	WBP1_HUMAN
ENST00000233623	Q49AM3	TTC31_HUMAN
ENST00000233627	O75251	NDUS7_HUMAN
ENST00000233630	Q9BSM1	PCGF1_HUMAN
ENST00000233638	O43763	TLX2_HUMAN
ENST00000233668	Q99704	DOK1_HUMAN
ENST00000233710	P28330	ACADL_HUMAN
ENST00000233712	Q9H8M9	EVA1A_HUMAN
ENST00000233735	P05451	REG1A_HUMAN
ENST00000233741	Q9NW38	FANCL_HUMAN
ENST00000233809	P18065	IBP2_HUMAN
ENST00000233813	P24593	IBP5_HUMAN
ENST00000233826	O60928	KCJ13_HUMAN
ENST00000233838	P38435	VKGC_HUMAN
ENST00000233840	Q9Y3R4	NEUR2_HUMAN
ENST00000233893	P61604	CH10_HUMAN
ENST00000233948	Q9Y6F9	WNT6_HUMAN
ENST00000233954	Q01638	ILRL1_HUMAN
ENST00000233957	Q13478	IL18R_HUMAN
ENST00000233969	Q9UBY0	SL9A2_HUMAN
ENST00000233997	P20160	CAP7_HUMAN
ENST00000234071	P04070	PROC_HUMAN
ENST00000234091	Q02363	ID2_HUMAN
ENST00000234111	P11926	DCOR_HUMAN
ENST00000234115	Q96CS7	PKHB2_HUMAN
ENST00000234160	Q9H8Y8	GORS2_HUMAN
ENST00000234170	Q03701	CEBPZ_HUMAN
ENST00000234179	O94806	KPCD3_HUMAN
ENST00000234198	Q07687	DLX2_HUMAN
ENST00000234256	P43007	SATT_HUMAN
ENST00000234296	Q13416	ORC2_HUMAN
ENST00000234310	P63098	CANB1_HUMAN
ENST00000234313	P08567	PLEK_HUMAN
ENST00000234347	P24158	PRTN3_HUMAN
ENST00000234371	Q969F8	KISSR_HUMAN
ENST00000234389	O60391	NMD3B_HUMAN
ENST00000234392	Q9UIW0	VAX2_HUMAN
ENST00000234396	P15313	VATB1_HUMAN
ENST00000234420	P52701	MSH6_HUMAN
ENST00000234453	Q9HB20	PKHA3_HUMAN
ENST00000234454	P35270	SPRE_HUMAN
ENST00000234590	P06733	ENOA_HUMAN
ENST00000234626	O00311	CDC7_HUMAN
ENST00000234677	P49591	SYSC_HUMAN
ENST00000234701	A8K7I4	CLCA1_HUMAN
ENST00000234739	O00512	BCL9_HUMAN
ENST00000234798	Q9NRR2	TRYG1_HUMAN
ENST00000234816	O95841	ANGL1_HUMAN
ENST00000234831	Q9BXS4	TMM59_HUMAN
ENST00000234875	P35268	RL22_HUMAN
ENST00000234961	P41143	OPRD_HUMAN
ENST00000235090	Q9BQA1	MEP50_HUMAN
ENST00000235307	Q9H246	CA021_HUMAN
ENST00000235310	Q9UI95	MD2L2_HUMAN
ENST00000235332	Q5JXC2	MIIP_HUMAN
ENST00000235345	Q9NTN3	S35D1_HUMAN
ENST00000235347	O60809	PRA10_HUMAN
ENST00000235349	O60810	PRAM4_HUMAN
ENST00000235372	Q13029	PRDM2_HUMAN
ENST00000235382	P41220	RGS2_HUMAN
ENST00000235521	Q9UGM6	SYWM_HUMAN
ENST00000235532	Q8WVF1	OSCP1_HUMAN
ENST00000235628	Q9BXI3	5NT1A_HUMAN
ENST00000235835	O43488	ARK72_HUMAN
ENST00000236051	Q99848	EBP2_HUMAN
ENST00000236137	O60779	S19A2_HUMAN
ENST00000236192	O75379	VAMP4_HUMAN
ENST00000236273	O95926	SYF2_HUMAN
ENST00000236342	Q86SQ9	DHDDS_HUMAN
ENST00000236671	P07339	CATD_HUMAN
ENST00000236709	Q9UNA3	A4GCT_HUMAN
ENST00000236826	P22894	MMP8_HUMAN
ENST00000236850	P02647	APOA1_HUMAN
ENST00000236877	Q9UPR5	NAC2_HUMAN
ENST00000236937	P31994	FCG2B_HUMAN
ENST00000236957	P24534	EF1B_HUMAN
ENST00000236959	P31939	PUR9_HUMAN
ENST00000236979	P09430	STP1_HUMAN
ENST00000237163	Q5TA12	Q5TA12_HUMAN
ENST00000237172	Q7Z7B0	FLIP1_HUMAN
ENST00000237201	Q9HBV2	SACA1_HUMAN
ENST00000237264	P62380	TBPL1_HUMAN
ENST00000237275	Q5TFG8	ZC21B_HUMAN
ENST00000237281	Q8TB52	FBX30_HUMAN
ENST00000237283	Q7Z6V5	ADAT2_HUMAN
ENST00000237316	O43680	TCF21_HUMAN
ENST00000237353	Q8TBY8	PMFBP_HUMAN
ENST00000237380	Q9H204	MED28_HUMAN
ENST00000237455	O00237	RN103_HUMAN
ENST00000237530	P04844	RPN2_HUMAN
ENST00000237536	O94964	SOGA1_HUMAN
ENST00000237596	Q13563	PKD2_HUMAN
ENST00000237642	O95210	STBD1_HUMAN
ENST00000237654	Q14094	CCNI_HUMAN
ENST00000237696	P49788	TIG1_HUMAN
ENST00000237837	Q9GZV9	FGF23_HUMAN
ENST00000237853	O00472	ELL2_HUMAN
ENST00000237889	O43676	NDUB3_HUMAN
ENST00000238044	Q9H1Z8	AUGN_HUMAN
ENST00000238081	P27348	1433T_HUMAN
ENST00000238112	Q9UKF6	CPSF3_HUMAN
ENST00000238146	Q8NHQ9	DDX55_HUMAN
ENST00000238497	O75351	VPS4B_HUMAN
ENST00000238508	P48595	SPB10_HUMAN
ENST00000238558	P56915	GSC_HUMAN
ENST00000238561	Q86TW2	ADCK1_HUMAN
ENST00000238609	Q9H2X8	I27L2_HUMAN
ENST00000238616	Q8TD19	NEK9_HUMAN
ENST00000238647	Q9H1B7	I2BPL_HUMAN
ENST00000238667	Q9UPI3	FLVC2_HUMAN
ENST00000238714	Q9BWT3	PAPOG_HUMAN
ENST00000238738	P17081	RHOQ_HUMAN
ENST00000238788	Q6NUQ4	TM214_HUMAN
ENST00000238789	Q9ULI0	ATD2B_HUMAN
ENST00000238823	Q8NCA5	FA98A_HUMAN
ENST00000238831	Q9BSR8	YIPF4_HUMAN
ENST00000238875	Q3ZCW2	LEGL_HUMAN
ENST00000238892	Q9P021	CRIPT_HUMAN
ENST00000238936	Q14CX5	MF13A_HUMAN
ENST00000238961	Q8IX21	SLF2_HUMAN
ENST00000238983	P07098	LIPG_HUMAN
ENST00000238994	Q9UQK1	PPR3C_HUMAN
ENST00000239007	P50539	MXI1_HUMAN
ENST00000239032	P49683	PRLHR_HUMAN
ENST00000239144	P17481	HXB8_HUMAN
ENST00000239151	P09067	HXB5_HUMAN
ENST00000239165	P09629	HXB7_HUMAN
ENST00000239174	P14653	HXB1_HUMAN
ENST00000239223	P28562	DUS1_HUMAN
ENST00000239231	Q9H999	PANK3_HUMAN
ENST00000239243	P35548	MSX2_HUMAN
ENST00000239316	Q14641	INSL4_HUMAN
ENST00000239347	P01567	IFNA7_HUMAN
ENST00000239367	Q86VZ4	LRP11_HUMAN
ENST00000239374	Q8IYT3	CC170_HUMAN
ENST00000239440	Q8WWN8	ARAP3_HUMAN
ENST00000239444	Q9UN66	PCDB8_HUMAN
ENST00000239446	Q9UN67	PCDBA_HUMAN
ENST00000239449	Q9Y5E9	PCDBE_HUMAN
ENST00000239450	Q9Y5F1	PCDBC_HUMAN
ENST00000239451	Q9BXI2	ORNT2_HUMAN
ENST00000239461	P54821	PRRX1_HUMAN
ENST00000239462	Q9UQP3	TENN_HUMAN
ENST00000239587	Q9BWV7	TTLL2_HUMAN
ENST00000239666	Q5EBL8	PDZ11_HUMAN
ENST00000239690	Q96RS6	NUDC1_HUMAN
ENST00000239830	Q9BR77	CCD77_HUMAN
ENST00000239878	P61960	UFM1_HUMAN
ENST00000239882	P32519	ELF1_HUMAN
ENST00000239891	Q9Y673	ALG5_HUMAN
